"","name","color","geometry"
"12975142",NA,"green",c(576116.503209757, 6227408.72224055)
"23568150","ARoS Kunstmuseum","green",c(574517.097212586, 6223854.98657049)
"32067922",NA,"green",c(581556.966383752, 6237527.37258163)
"32067924",NA,"green",c(581606.33081865, 6237625.80986506)
"34247371",NA,"green",c(574741.34317354, 6225275.81698063)
"37930615",NA,"green",c(574711.058219195, 6226124.45965573)
"37930616",NA,"green",c(574698.737597515, 6226156.4181635)
"38036160",NA,"green",c(570768.888082531, 6216824.35199308)
"38036161",NA,"green",c(570792.238641881, 6216770.17917555)
"38036162","Tranbjergskolen","green",c(570974.144938319, 6216702.60419721)
"41113303",NA,"green",c(570829.702947808, 6217639.83439295)
"41160762",NA,"green",c(571117.156056043, 6216649.47541547)
"41162526",NA,"green",c(570742.239943495, 6217276.09244089)
"41176529",NA,"green",c(570728.866018193, 6216530.49422908)
"41176532",NA,"green",c(570728.949510386, 6216438.95918954)
"41176584",NA,"green",c(570557.678769209, 6216660.67766858)
"41178625",NA,"green",c(571561.284344228, 6216964.96165864)
"41178627",NA,"green",c(571681.641845259, 6216894.35922999)
"41192000",NA,"green",c(570843.196909613, 6217128.53415539)
"41192005",NA,"green",c(570781.620706132, 6217086.70931361)
"41321503","Det Kgl. Bibliotek","green",c(574464.109556823, 6225682.59852827)
"41327377","Antikmuseet","green",c(574527.51849888, 6225712.57952034)
"42984016","Aarhus Universitetshospital","green",c(572635.287676882, 6227940.95696791)
"44834565","Virupskolen","green",c(578811.694056373, 6233923.66005606)
"51676174","Skolebakken","green",c(575345.493936066, 6224233.4777215)
"53470679",NA,"green",c(574905.068789092, 6223979.75556121)
"56464294",NA,"green",c(577833.506776703, 6232862.65104533)
"59531825",NA,"green",c(572613.919773751, 6223211.42853194)
"59729969",NA,"green",c(576187.960299682, 6229660.74525531)
"67884991",NA,"green",c(576741.749680262, 6228494.50939959)
"87547337","Scandic Hotel","green",c(571507.326654987, 6225231.47835868)
"87596718","Kvickly","green",c(572325.522619075, 6224022.64239708)
"90111377","Gellerup Kirke","green",c(570431.699670636, 6223995.91560857)
"90425308","Coop365","green",c(573708.763020874, 6222590.37000017)
"90425310","Meny Aarhus C","green",c(573734.927781497, 6222640.41202121)
"100288122",NA,"green",c(575047.638928553, 6225596.33008173)
"107363057","Salling","green",c(574990.312451094, 6223921.75903136)
"107368839",NA,"green",c(574990.174048192, 6223513.8798617)
"109264590","Sankt Lukas Kirke","green",c(574191.597168231, 6222835.11867569)
"109268469",NA,"green",c(574350.780268123, 6222772.15520339)
"110589771","Folkestedet","green",c(574146.405173974, 6223986.72229285)
"110779009",NA,"green",c(574095.207989534, 6222994.395073)
"122007299","Lagkagehuset","green",c(573714.373971526, 6222697.01746454)
"143397006","Tivoli Friheden","green",c(574462.959846113, 6221930.54175951)
"143821035","Ingerslevs Plads","green",c(574368.850864152, 6222829.29421502)
"144812527","Frederiksbjerg Idrætscenter - Aarhus Svømmestadion","green",c(574379.064019742, 6222755.88167408)
"144916849",NA,"green",c(574736.933761414, 6221204.20401638)
"149563661",NA,"green",c(577617.219268643, 6216446.15836842)
"150547941","Ingerslevs plads","green",c(574520.214959848, 6222841.21775535)
"158692874",NA,"green",c(576061.033945038, 6225300.23131954)
"160440342",NA,"green",c(570045.765614514, 6219114.163989)
"162078075",NA,"green",c(574221.186503528, 6210910.63750483)
"170622110","Lidl","green",c(573385.991991395, 6228923.43108784)
"174498847","Rema 1000","green",c(563426.963405615, 6230037.67716316)
"175621960",NA,"green",c(576932.07313862, 6218036.75787886)
"177953381",NA,"green",c(575925.175861239, 6229001.99958133)
"188155929","Aarhus Rutebilstation","green",c(575096.138989376, 6223646.75599824)
"217522836","Østbanetorvet","green",c(575540.701292457, 6224855.07220719)
"217522839","Østbanetorvet","green",c(575530.989248356, 6224858.87607834)
"222050784",NA,"green",c(573863.236984159, 6228406.25819881)
"231355324","Bogtårnet","green",c(574455.031386114, 6225702.29238708)
"231427420",NA,"green",c(574738.393854661, 6223662.91631336)
"231434903","Bruuns Galleri","green",c(574849.516159888, 6223330.25866728)
"249389960","Rema 1000 Viby Jylland","green",c(572943.774866064, 6221687.03590553)
"249389963",NA,"green",c(572976.178228617, 6221743.64850282)
"249946277",NA,"green",c(569985.606855307, 6219004.17320544)
"251397097","Aarhus Tigers","green",c(570119.683611981, 6219864.48812875)
"262497115","Gammel Åby Kirke","green",c(572224.060758608, 6222896.92432453)
"269262855","DGI-Huset Aarhus","green",c(574938.533678616, 6223300.76608252)
"269480921","Musikhuset Aarhus","green",c(574485.379259943, 6223751.29301257)
"280997222","SuperBrugsen","green",c(572464.085561988, 6214201.63229917)
"293826057","SuperBrugsen","green",c(581641.536878202, 6237766.84448126)
"293912037","Dagli'Brugsen","green",c(580590.864585165, 6236042.01771893)
"316212995",NA,"green",c(574551.660340769, 6224627.94704521)
"320442322","Mårslet","green",c(572502.395935456, 6214328.40330062)
"320442323","Mårslet","green",c(572508.456040875, 6214337.62860276)
"320996378",NA,"green",c(570143.913036564, 6219956.71552725)
"320996379",NA,"green",c(569994.245071876, 6219884.02181503)
"321023973",NA,"green",c(569382.510320795, 6220983.44804847)
"340572693","Børnenes Kontor","green",c(575132.542978499, 6224147.8260734)
"344112405",NA,"green",c(575023.156570662, 6222264.07508602)
"351074701","Mollerup Hundeskov","green",c(574807.04171934, 6229224.57374585)
"373193293",NA,"green",c(578613.036313744, 6234030.19645577)
"386489091",NA,"green",c(573203.470279812, 6229407.56242641)
"388107809",NA,"green",c(570185.533746178, 6219851.58631493)
"397184377","POWER Mega Syd, Viby J","green",c(571578.209168445, 6219646.47472676)
"399077476","Ungdomskirken Aarhus","green",c(574950.147291739, 6224544.52375554)
"401589969",NA,"green",c(570855.821016857, 6216744.67873762)
"431942820",NA,"green",c(579126.484806053, 6211090.53290723)
"437029014",NA,"green",c(574783.50166049, 6221226.20820312)
"444447549","Lidl","green",c(572080.925041102, 6225453.29859481)
"460930770",NA,"green",c(577460.373672655, 6216635.40702687)
"477415942","Modelparken Danmark","green",c(577977.970209166, 6232089.59235927)
"478608861",NA,"green",c(570454.250732873, 6219394.7088321)
"478608864",NA,"green",c(570550.308019624, 6219437.76351345)
"478608890",NA,"green",c(571346.306267101, 6219698.13994472)
"486939843",NA,"green",c(578700.275574478, 6234097.55980277)
"503539989","Vilhelmsborg","green",c(573350.887414195, 6213867.31886256)
"508585493","ingo","green",c(572486.782866091, 6223438.12870748)
"510335886","Olof Palmes Allé","green",c(573475.691842432, 6227822.23767904)
"510335891",NA,"green",c(574069.112898453, 6227476.76968358)
"510335892","Stockholmsgade","green",c(574497.588824385, 6226621.42858853)
"510335893","Stockholmsgade","green",c(574518.636803387, 6226538.21148047)
"510335894",NA,"green",c(574701.875474416, 6226079.82880813)
"510335895","Aarhus Universitet (Ringgaden)","green",c(574807.518319146, 6225788.91170452)
"510335896","Aarhus Universitet (Ringgaden)","green",c(574778.768711977, 6225892.10806972)
"510335901","Universitetsparken","green",c(574991.879070415, 6225329.75949978)
"510335903","Skolebakken","green",c(575355.666419017, 6224232.86775009)
"510335906","Nørreport","green",c(575245.251042263, 6224725.46459738)
"510624245","Vandtårnet (Ringvejen)","green",c(574302.539017769, 6227097.3019091)
"510624252","Vandtårnet (Ringvejen)","green",c(574334.755728291, 6226987.29944643)
"514081446",NA,"green",c(572513.875015284, 6228688.51326123)
"514081447",NA,"green",c(572510.797500868, 6228679.51223548)
"514081448","Humlehuse","green",c(572357.557585625, 6229331.16941335)
"514081449","Humlehuse","green",c(572348.117555622, 6229332.02506665)
"514081450","Klokhøjen","green",c(572185.907158575, 6230324.70891474)
"514081451","Klokhøjen","green",c(572176.49994666, 6230324.10499338)
"514081452",NA,"green",c(571751.390481066, 6230954.88503507)
"514213592",NA,"green",c(572808.569760883, 6231122.29372901)
"514213593",NA,"green",c(572804.882726671, 6231131.45496555)
"514213594",NA,"green",c(572229.460452345, 6230804.69160675)
"514213599",NA,"green",c(574436.810336235, 6232024.37787857)
"514213600",NA,"green",c(574441.883409833, 6232015.99994209)
"514859292","Dokk1","green",c(575356.911714231, 6223883.74500511)
"514859293","Dokk1","green",c(575347.494464141, 6223880.61375002)
"515368171",NA,"green",c(574613.302731148, 6213079.44505602)
"515368172",NA,"green",c(573464.873486447, 6213804.48153775)
"515368177",NA,"green",c(571860.052751264, 6214770.68845106)
"515368178",NA,"green",c(571854.949292635, 6214768.27494556)
"517221598",NA,"green",c(575293.815547309, 6221072.44024549)
"517728496",NA,"green",c(576202.222767168, 6229656.14826283)
"517728507",NA,"green",c(576733.381180394, 6228486.36024591)
"540068352",NA,"green",c(575781.868882263, 6225261.1098868)
"563850106","Det Gyldne Brød","green",c(576364.007174867, 6232520.50198362)
"564175989",NA,"green",c(576518.247653468, 6232442.15990285)
"566686170","F24","green",c(581405.072166635, 6237451.24823188)
"593014040",NA,"green",c(574490.748712896, 6224339.54345715)
"635792100","Besættelsesmuseet","green",c(575246.146752698, 6224258.06972387)
"661096587",NA,"green",c(575456.432791901, 6220979.05388813)
"845989100",NA,"green",c(576777.884672584, 6227278.26841309)
"903155610","Storcenter Nord","green",c(573794.500725199, 6225685.64065041)
"967856929",NA,"green",c(570937.467039609, 6222512.68943796)
"1007190677",NA,"green",c(574953.767736449, 6223997.62906595)
"1012548867",NA,"green",c(574720.707719465, 6223628.62042543)
"1012548868",NA,"green",c(574715.314078907, 6223629.87623073)
"1012548869",NA,"green",c(574741.252636462, 6223708.35655913)
"1012548870",NA,"green",c(574728.883388121, 6223711.274683)
"1012548874",NA,"green",c(574734.872092864, 6223663.71420347)
"1012548875",NA,"green",c(574725.510658556, 6223666.12367376)
"1012548876",NA,"green",c(574730.089604476, 6223664.951517)
"1012548877",NA,"green",c(574726.151342539, 6223627.11211434)
"1012548878",NA,"green",c(574739.658369979, 6223701.40977315)
"1012548879",NA,"green",c(574722.143645664, 6223667.0905976)
"1034982095","Agnete og Havmanden","green",c(574726.900176785, 6223586.45070158)
"1180734343",NA,"green",c(572631.958952954, 6224017.76207642)
"1185583857","H&M","green",c(573747.939960854, 6225731.35150861)
"1185583858","Eurosko","green",c(573753.331239532, 6225753.54344842)
"1185583859","Imerco","green",c(573758.544575973, 6225777.0216354)
"1185594880","H&M","green",c(573737.03416329, 6225680.83352991)
"1185594881","Mister Minit","green",c(573783.429011656, 6225804.27158529)
"1185602008","Føtex","green",c(573812.579600113, 6225743.99780918)
"1185602009","føtex Bager","green",c(573762.728716905, 6225720.31519428)
"1185602010","Tøjeksperten","green",c(573786.830964072, 6225712.80400974)
"1185602011","Føtex","green",c(573752.286011156, 6225730.41848518)
"1185602012","Postnord","green",c(573772.119299222, 6225741.40109545)
"1185772270","Pilgrim","green",c(573754.539851744, 6225650.99917051)
"1185772275","Anettes Sandwich","green",c(573827.98351971, 6225703.77987282)
"1185772276","Zizzi","green",c(573818.881884773, 6225705.77397318)
"1185772277","YouSee","green",c(573805.959936847, 6225708.60747946)
"1185820463","Vero Moda","green",c(573754.92639591, 6225666.04750035)
"1185820464","Flying Tiger Copenhagen","green",c(573758.27617859, 6225681.51013026)
"1185820465","Synoptik","green",c(573761.846900073, 6225697.22205472)
"1186315746","Fransa","green",c(573787.093690969, 6225657.07312631)
"1186315747","Partyland","green",c(573788.835398497, 6225669.19995245)
"1186315748","Skohunden","green",c(573769.536949714, 6225671.03119336)
"1186315749","Bubble Bar","green",c(573823.3336506, 6225635.3096601)
"1186315750","Vibholm Guld og Sølv","green",c(573809.797476849, 6225647.19233044)
"1186315751","Netto","green",c(573837.579079544, 6225661.12776329)
"1186315752","NORD Delikatessen","green",c(573808.029036672, 6225684.18157136)
"1186315753","GEjSER","green",c(573800.165728883, 6225654.11558746)
"1186315754","Roots Juice & 'Wich","green",c(573819.725592383, 6225666.57057462)
"1186315756","Matas","green",c(573790.785761505, 6225681.496002)
"1186315757","Ecco","green",c(573798.873109522, 6225690.1475446)
"1186315758","Frellsen","green",c(573789.019297256, 6225695.53772283)
"1186315759","ONLY","green",c(573772.637876797, 6225690.78943346)
"1186315761","Pita Planet Two","green",c(573821.949333303, 6225689.27527906)
"1186475237","Stjerneapoteket Storcenter Nord","green",c(573826.002080202, 6225618.43793749)
"1186475238","Storcenter Nord Boghandel","green",c(573745.655012806, 6225635.68520431)
"1186475239","Strauss Skrædderi","green",c(573776.583808916, 6225644.89003384)
"1186475240","Phi Long","green",c(573771.826394933, 6225637.55085561)
"1186475241","Neye","green",c(573764.940398484, 6225647.41748127)
"1186475242","MyRepair","green",c(573827.872489643, 6225626.30464761)
"1189450946","Fransa","green",c(573782.683450794, 6225600.39881023)
"1189450947","Boss et Kaufmann","green",c(573802.031605156, 6225617.76354518)
"1189450948","Zizzi outlet","green",c(573805.433021545, 6225635.37516161)
"1189450951","Poul M","green",c(573796.231499728, 6225578.14777779)
"1189450952","Wagner","green",c(573788.91048926, 6225593.3204831)
"1189450953","NAME IT","green",c(573773.979054573, 6225607.8782358)
"1189450954","Change","green",c(573766.144424402, 6225615.02638871)
"1189450955","Skechers","green",c(573759.313082635, 6225623.20437832)
"1189450956","BR legetøj","green",c(573788.60555824, 6225628.02340448)
"1189450957","Sportmaster","green",c(573837.16024287, 6225592.52700387)
"1189450958","Normal","green",c(573823.014856564, 6225604.90778103)
"1215631740",NA,"green",c(573782.344489853, 6225798.94645879)
"1243203270",NA,"green",c(572380.342615858, 6222418.07421166)
"75897622","Åbyhøjgård","green",c(571362.847860558, 6223254.96925639)
"247135581","Ingo","green",c(572592.134547112, 6221438.97550386)
"258422343","Posthus Superbrugsen","green",c(574449.573212065, 6224280.78002869)
"262404134","SuperBrugsen","green",c(574452.20981672, 6224292.08075941)
"354996623","Hovmarken","green",c(577835.086057922, 6232863.67733322)
"442498685","Nordisk Film Biografer Aarhus C","green",c(574909.604585018, 6223574.80674572)
"442862710","7-Eleven","green",c(574275.499841002, 6223104.28887883)
"442862711","SuperBrugsen","green",c(574427.79944171, 6223194.65461465)
"442862712","Netto","green",c(574608.7102807, 6223204.99183763)
"442862713","Kvickly","green",c(574815.860254646, 6223284.21479702)
"442918116","Føtex Food","green",c(574802.685288686, 6223073.13607757)
"442918117","Burger King Århus","green",c(574761.078742882, 6223515.9382825)
"442918121","Netto","green",c(574926.184147292, 6223568.69544167)
"442918123","Føtex Food","green",c(574994.429352906, 6224406.8071214)
"445339960","Netto","green",c(574566.516769569, 6226567.17664984)
"449331581","Åbyhøjgård","green",c(571315.137797783, 6223258.26058243)
"451848197",NA,"green",c(573627.75130099, 6224852.59794066)
"487096007","Kolt","green",c(566360.542753182, 6218466.82365747)
"502652544","Netto","green",c(570229.191446213, 6217219.77840101)
"502674108","Rema 1000","green",c(570715.928998355, 6216800.81710697)
"502674110",NA,"green",c(570672.094186912, 6216759.45235081)
"570102448","Kunnerupvej","green",c(566668.81582055, 6218522.41757019)
"571127029","Byens Burger","green",c(574452.861362476, 6224013.26871552)
"574742776","Train","green",c(575289.081099259, 6223709.84844974)
"575140047","Søren Frichs Vej","green",c(571609.785395361, 6222975.0156009)
"632467142",NA,"green",c(574855.54285657, 6223521.56167949)
"636858968","Spiralen","green",c(570943.857354342, 6225691.60465465)
"646731626","Cabinn Aarhus","green",c(575181.843600968, 6224085.37936149)
"672198752",NA,"green",c(566158.32416605, 6226472.80070792)
"692005324","Føtex","green",c(574085.908937066, 6228274.53693313)
"713489501","Købmand Brabrand","green",c(567774.473883756, 6223342.22490673)
"792406714","Magasin","green",c(574944.923749681, 6224202.11607026)
"792406727","Lou Lou","green",c(575125.657296268, 6224020.28174222)
"825060403","Café Stiften","green",c(574755.699528153, 6223440.3107033)
"825060407","McDonald's Aarhus Banegaard","green",c(574850.446099831, 6223467.21301285)
"828002958","Hovmarken","green",c(576760.428608632, 6232871.65082338)
"828208358",NA,"green",c(574482.046605495, 6222858.71849523)
"828209184",NA,"green",c(575024.448576187, 6222246.89805329)
"920391556","The Bagel Company","green",c(574823.374413401, 6223459.24808869)
"920393415","Banegårdspladsen","green",c(574865.551815512, 6223495.33032204)
"933879926","Vesterbro Torv","green",c(574471.773359988, 6224393.94879254)
"933879927","Vesterbro Torv","green",c(574466.29377692, 6224383.2331753)
"933880047","Klostervangen","green",c(574493.768869957, 6224706.7080655)
"933880048","Klostervangen","green",c(574491.616636879, 6224694.36926466)
"933882961","Park Allé","green",c(574748.46823426, 6223569.16523101)
"933882964","Park Allé","green",c(574755.298853973, 6223665.94755105)
"1042570236","Kaserneboulevarden","green",c(574382.55711384, 6225045.606779)
"1042571403","Kaserneboulevarden/Langelandsgade","green",c(574321.31977576, 6225060.11800879)
"1116310144","Schweizerbageriet","green",c(574775.151755092, 6223103.60382856)
"1225633774","Rema 1000 Frederiksgade","green",c(574702.562590987, 6223817.13064109)
"1227838693","Studenternes Hus/Nordre Ringgade","green",c(574543.049512581, 6225747.30521627)
"1233003166","Bog & idé","green",c(574979.372584659, 6223991.32408978)
"1233080347",NA,"green",c(574961.417948318, 6224029.59509912)
"1240225789",NA,"green",c(573947.414452956, 6222717.19730916)
"1280618245","Søgade/Frederiks Allé","green",c(574482.179706811, 6223453.92760592)
"1297439685","Wagner","green",c(574976.401052218, 6223985.02676574)
"1297439686","Espresso House","green",c(574842.312474654, 6223626.57692122)
"1297439716","Holst","green",c(574847.643579381, 6223672.12390488)
"1297439721","Profil Optik Brøbecher","green",c(574851.951722219, 6223711.84188214)
"1297439732","Luksus Baby","green",c(574861.210684742, 6223620.39454644)
"1297439741","Qvist Briller","green",c(574994.68806282, 6224018.65520964)
"1297439747","Guldsmed Boye","green",c(574951.264666563, 6223938.73227948)
"1297439761","Lilly","green",c(574883.319480467, 6223814.14075209)
"1297439781","Guldager & Sønner ApS","green",c(574857.001271962, 6223574.66675808)
"1297439785","Thiele","green",c(574848.731986732, 6223679.89111498)
"1319753558","Sanct Lukas Apotek","green",c(574139.396204493, 6222989.43924706)
"1319969847","Rask Cykler","green",c(575152.982997316, 6224694.90066774)
"1370479719","Villa Provence","green",c(575120.978431859, 6223896.27280953)
"1471154528","Hermansen Cykler","green",c(574541.910574551, 6224380.88569374)
"1471275794","Center Cykler","green",c(570659.824344481, 6216789.55199998)
"1548993855",NA,"green",c(574663.299845339, 6225263.15548755)
"1561610603","Føtex","green",c(572147.176248967, 6221203.43305436)
"1561610607","Viby Apotek","green",c(572206.384544999, 6221161.5035696)
"1568949396","McDonald's","green",c(574497.228879766, 6226679.75553227)
"1573162834",NA,"green",c(572316.946138359, 6222292.47942635)
"1573825104",NA,"green",c(574464.361986594, 6222839.96478258)
"1602608951","Føtex","green",c(574513.095387136, 6223531.03400934)
"1602608965",NA,"green",c(574550.85944626, 6223565.87858758)
"1636999843",NA,"green",c(574363.006899731, 6223213.05614461)
"1691739299","Mårslet postbutik","green",c(572475.102924369, 6214214.78295142)
"1691744064","Stjerneapoteket","green",c(574703.518728954, 6226169.83039478)
"1709630294","Matematisk Kantine","green",c(574531.420434583, 6225271.77929689)
"1745739439",NA,"green",c(574852.00827313, 6225291.44203691)
"1773955050",NA,"green",c(564721.424642421, 6229470.78140735)
"1777235277","Scandic Aarhus City","green",c(574875.522515718, 6223904.75641747)
"1777238191","Café Paradis","green",c(575112.370308358, 6224565.45205541)
"1855204149","Rema 1000","green",c(569416.046270658, 6220973.8976358)
"1885346131","Svalegangen","green",c(574935.144878613, 6223657.14377637)
"1893378560","Spiselauget","green",c(574182.406905033, 6223839.84320762)
"1945583653","PureGym","green",c(574120.424646163, 6225604.18615094)
"1952186919","Løvbjerg","green",c(575227.184153011, 6225966.95831784)
"1987802821","Rutebilstationen/Sønder Allé","green",c(575122.815745264, 6223672.39728334)
"1987802830","Rutebilstationen/Sønder Allé","green",c(575181.127758646, 6223677.52788394)
"2152541957","Salling","green",c(574979.789959619, 6223894.69031952)
"2163746253","Ptu","green",c(573865.806171353, 6222464.35412289)
"2173132345","Bandagist center","green",c(576044.989708105, 6229565.76338402)
"2318241732","Handi-K@","green",c(572636.303558279, 6220343.14959783)
"2382365405","Café Albert","green",c(573536.886377319, 6225724.60840875)
"2425801020","China Palace","green",c(573958.326459648, 6225442.90197477)
"2632663641","Ecco","green",c(574827.443151516, 6223529.07515277)
"2655774552","Tranbjerg Bibliotek","green",c(570673.481512644, 6216812.05200825)
"2698893491","Restaurant Fortegården","green",c(576444.767642103, 6228793.03640607)
"2733230773","EventyrSport","green",c(574859.63347088, 6223908.05230232)
"2733230776","Spejder Sport","green",c(574875.532323166, 6223924.46106865)
"2733231431","Ilva","green",c(572052.859932078, 6221274.34056356)
"2776455705","Fysisk Fredagsbar","green",c(574423.188098651, 6225364.03323451)
"2776455707","Stakbogladen Naturfagsafdelingen","green",c(574470.048591576, 6225241.66705143)
"2838957162","Lystrup","green",c(576574.102090513, 6232483.77064657)
"2838957163","Løgten","green",c(581567.891375648, 6237548.78855676)
"2838957166","Skødstrup","green",c(580721.03839929, 6235988.21478196)
"2840871852","Rema 1000","green",c(574973.146046535, 6224578.55402699)
"3050708390","Cafeen i Væksthusene","green",c(574124.745046947, 6224556.33041675)
"3171811545","Daro.dk Handicaptøj og tøj til kørestolsbrugerer","green",c(577012.359302325, 6232060.42083441)
"3231560052","Park Allé","green",c(574757.416819512, 6223506.79030934)
"3231561567","Park Allé","green",c(574729.429593425, 6223511.42307859)
"3231561619","Banegårdspladsen","green",c(574784.235269227, 6223504.33041877)
"3402662685","Djurslands Bank A/S","green",c(570858.478743355, 6217643.79614011)
"3402663446","Espresso House","green",c(574726.633556405, 6223495.73321642)
"3402664210","Cafe Rømer","green",c(575060.496820215, 6224137.50030737)
"3402665422","Grappa","green",c(575007.525067069, 6224182.21576713)
"3402665457","Sparekassen Danmark","green",c(574363.148223086, 6223221.38565359)
"3402665470","Hotel Faber","green",c(574291.255772296, 6223633.21865356)
"3402667015","Pizza Day And Night","green",c(574981.277632663, 6224581.41268402)
"3416615977","Kaospilot Denmark","green",c(575374.549485479, 6223469.26367222)
"3431272008","Den store cykelsmed","green",c(574064.96738902, 6228306.41405736)
"3431272009","Matas","green",c(574074.888380126, 6228315.23577357)
"3431272011","AudioNova","green",c(574099.833216588, 6228327.08969844)
"3431272013","Frisør Piet","green",c(574115.322107937, 6228334.44940337)
"3431272015","Lion Sandwich og Shawarma Bar","green",c(574130.042768692, 6228332.41115427)
"3462863885","Eventyrsport / Fjällräven Store","green",c(575029.512535621, 6223869.64431774)
"3607209397","Borgerservice Aarhus Kommune","green",c(575398.95169519, 6223799.79396919)
"3623468434","Pipes","green",c(574537.960317059, 6226628.11958144)
"3653697668","Juliette","green",c(574566.415491119, 6223205.01273909)
"3798986033","Prima Pizza","green",c(572405.165337336, 6221076.36464738)
"3823274797",NA,"green",c(567614.310512526, 6223033.01916187)
"3904868884","Hennes & Mouritz","green",c(575043.690911028, 6224110.88869616)
"3930372285","Starbucks","green",c(574982.942169947, 6223954.92767953)
"3930372286","Humac","green",c(575053.196801218, 6224063.36362787)
"3939095709",NA,"green",c(574279.302984679, 6224276.38832521)
"3939095712",NA,"green",c(574629.784147125, 6224477.72068539)
"3939095714",NA,"green",c(574781.294504631, 6224559.14745628)
"3957253541","Lava","green",c(575212.744673715, 6223984.66051759)
"3993362761","Cafe Gemmestedet","green",c(574789.227788683, 6224421.07623294)
"3997295960","Restaurant Hærværk","green",c(574322.220526799, 6223167.67419745)
"4081977708","Cafe Parasollen Viby","green",c(572431.511166502, 6221054.81215896)
"4084083761","It-hjørnet","green",c(573874.225704455, 6225847.76211806)
"4084111704","Salling Bistro","green",c(574980.483972361, 6223926.3966388)
"4090134347","Waxies","green",c(574930.976428344, 6224104.3960919)
"4095418358","Netto","green",c(572450.097717509, 6223992.392975)
"4103942662","Dalle Valle Bruuns","green",c(574767.820611634, 6223343.56959064)
"4114341316","Café NJoy","green",c(574543.924324339, 6223496.61431535)
"4116756585","Vinde","green",c(572113.296886287, 6225418.88266635)
"4127002609","Scandic Aarhus City Restaurant & Bar","green",c(574871.144786422, 6223906.38318535)
"4278761899",NA,"green",c(575365.575739107, 6223801.39988598)
"4356469398",NA,"green",c(574650.899013056, 6223724.35404981)
"4379852202","Lille Sal","green",c(574497.188666464, 6223772.24244164)
"4379852203","Store Sal","green",c(574487.965692925, 6223739.48629438)
"4403383115","Espresso House","green",c(574962.964454007, 6224131.18380064)
"4418717791","Det Grønne Køkken, Aarhus","green",c(574783.670429778, 6223349.40124889)
"4418976321","Tatashe","green",c(575149.053159846, 6223578.66537715)
"4434214902","Ikea Restaurant","green",c(573270.607446618, 6229373.19630034)
